epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1345.84,0.73276,1.52178,0.56775,0.98376,0.9036,0.80412,0.88409,0.72125,0.89633,0.79503,0.86507,0.54696,0.71729,1.54273,0.57587,0.90283,0.0004556,0.0004556,0.0004556
80,1363.14,0.73879,1.50708,0.57238,0.98545,0.88861,0.82088,0.88634,0.72325,0.87945,0.8113,0.86906,0.54854,0.7172,1.53434,0.56221,0.90516,0.0004358,0.0004358,0.0004358
81,1380.29,0.73893,1.52837,0.57406,0.98626,0.89221,0.81274,0.88537,0.72321,0.88535,0.80172,0.8659,0.54676,0.71659,1.53712,0.56926,0.90047,0.000416,0.000416,0.000416
82,1396.79,0.72536,1.50458,0.56716,0.98404,0.87642,0.83216,0.88815,0.72444,0.86843,0.82193,0.87106,0.55351,0.70671,1.53696,0.56114,0.89588,0.0003962,0.0003962,0.0003962
83,1414.01,0.73121,1.51121,0.56656,0.98203,0.88496,0.82567,0.88927,0.72676,0.88355,0.81759,0.8713,0.55467,0.70627,1.53042,0.5576,0.89818,0.0003764,0.0003764,0.0003764
84,1431,0.7255,1.50716,0.55755,0.98078,0.87778,0.81753,0.88156,0.72141,0.8965,0.78815,0.86195,0.54573,0.71063,1.53072,0.57249,0.90008,0.0003566,0.0003566,0.0003566
85,1447.87,0.73476,1.5192,0.57144,0.98401,0.87724,0.82479,0.88433,0.72526,0.88148,0.80891,0.86584,0.55169,0.704,1.53786,0.5668,0.8955,0.0003368,0.0003368,0.0003368
86,1464.8,0.71799,1.5011,0.55557,0.97706,0.8974,0.82103,0.88806,0.72952,0.8896,0.81561,0.874,0.55853,0.6942,1.52411,0.5572,0.89207,0.000317,0.000317,0.000317
87,1481.43,0.72195,1.49835,0.56287,0.97945,0.8917,0.81657,0.88682,0.72808,0.90143,0.79502,0.86665,0.55579,0.69506,1.52039,0.55372,0.89314,0.0002972,0.0002972,0.0002972
88,1498.46,0.7206,1.50367,0.55292,0.98003,0.89483,0.82328,0.88833,0.729,0.88698,0.81562,0.87066,0.55292,0.69606,1.51542,0.55235,0.89311,0.0002774,0.0002774,0.0002774
89,1515.2,0.71954,1.49079,0.55466,0.98037,0.88606,0.8228,0.88668,0.72961,0.87887,0.81312,0.8694,0.55361,0.6977,1.51376,0.55515,0.89731,0.0002576,0.0002576,0.0002576
90,1532.33,0.71477,1.48591,0.55695,0.97956,0.89267,0.82184,0.88945,0.73274,0.887,0.81034,0.87044,0.55695,0.68821,1.51241,0.54688,0.89081,0.0002378,0.0002378,0.0002378
91,1551.75,0.68181,1.44837,0.52456,0.97164,0.8936,0.82056,0.88636,0.72516,0.89188,0.80987,0.86935,0.55367,0.69781,1.52119,0.54636,0.89937,0.000218,0.000218,0.000218
92,1568.28,0.66282,1.41457,0.49657,0.9551,0.90476,0.81657,0.89044,0.7337,0.90068,0.80843,0.8722,0.5584,0.68613,1.51074,0.54437,0.89072,0.0001982,0.0001982,0.0001982
93,1585.34,0.66136,1.41105,0.49131,0.9587,0.88835,0.83075,0.89218,0.73566,0.89285,0.81274,0.87604,0.5589,0.68586,1.50076,0.53918,0.89271,0.0001784,0.0001784,0.0001784
94,1602.9,0.64737,1.40338,0.47959,0.95178,0.88727,0.82807,0.89461,0.73775,0.886,0.82328,0.87934,0.56385,0.67865,1.49026,0.53086,0.88568,0.0001586,0.0001586,0.0001586
95,1620.62,0.64733,1.39192,0.47636,0.94758,0.89503,0.82491,0.89371,0.73795,0.89781,0.81633,0.87727,0.56114,0.67888,1.49365,0.53284,0.88465,0.0001388,0.0001388,0.0001388
96,1637.68,0.64672,1.39368,0.47944,0.95045,0.90374,0.82285,0.89495,0.73855,0.9001,0.8137,0.87898,0.56455,0.67544,1.48515,0.53175,0.88465,0.000119,0.000119,0.000119
97,1655.1,0.64014,1.38552,0.47064,0.95016,0.90255,0.82519,0.89612,0.74088,0.89908,0.8149,0.87906,0.56407,0.67153,1.48253,0.52697,0.88092,9.92e-05,9.92e-05,9.92e-05
98,1673.15,0.63964,1.37782,0.4723,0.94241,0.89356,0.83227,0.89668,0.74277,0.89665,0.81944,0.87975,0.56748,0.66624,1.48212,0.52855,0.8787,7.94e-05,7.94e-05,7.94e-05
99,1690.54,0.63358,1.37561,0.47092,0.94242,0.91196,0.81861,0.89603,0.74477,0.91006,0.8113,0.88082,0.56794,0.66519,1.4766,0.52456,0.87924,5.96e-05,5.96e-05,5.96e-05
100,1707.53,0.62262,1.37081,0.46396,0.94239,0.90076,0.82591,0.89592,0.74344,0.90737,0.81632,0.88057,0.56919,0.66496,1.4763,0.52725,0.87792,3.98e-05,3.98e-05,3.98e-05
